,symbol,name,engname,tradetype,lasttrade,prevclose,open,high,low,volume,amount,ticktime,buy,sell,pricechange,changepercent
339,00399,领航医药生物科技,INNOVATIVE PHAR,EQTY,0.215,0.209,0.209,0.215,0.200,660000,139445,2024-06-13 16:08:15,0.196,0.218,0.006,2.8708134
340,00400,硬蛋创新,INGDAN,EQTY,1.140,1.130,1.100,1.140,1.100,220000,244100,2024-06-13 16:08:15,1.120,1.130,0.010,0.8849558
341,00401,万嘉集团,WANJIA GROUP,EQTY,0.071,0.072,0.071,0.071,0.071,20000,1420,2024-06-13 16:08:15,0.067,0.095,-0.001,-1.3888889
342,00403,星光集团,STARLITE HOLD,EQTY,0.198,0.185,0.190,0.198,0.190,10000,1922,2024-06-13 16:08:15,0.185,0.218,0.013,7.0270270
343,00406,有利集团,YAU LEE HOLD,EQTY,1.110,1.110,0.000,0.000,0.000,0,0,2024-06-13 16:08:15,1.060,0.000,0.000,0.0000000
344,00408,叶氏化工集团,YIP'S CHEMICAL,EQTY,1.490,1.520,1.520,1.520,1.490,46000,69300,2024-06-13 16:08:15,1.490,1.510,-0.030,-1.9736842
345,00410,SOHO中国,SOHO CHINA,EQTY,0.720,0.740,0.730,0.740,0.720,1278000,928480,2024-06-13 16:08:15,0.720,0.730,-0.020,-2.7027027
346,00411,南顺(香港),LAM SOON (HK),EQTY,8.990,8.990,0.000,0.000,0.000,0,0,2024-06-13 16:08:15,8.200,9.000,0.000,0.0000000
347,00412,山高控股,SDHG,EQTY,6.350,5.700,5.660,6.500,5.660,3067012,18794563,2024-06-13 16:08:15,6.310,6.350,0.650,11.4035088
348,00413,南华集团控股,SC HOLDINGS,EQTY,0.046,0.045,0.042,0.046,0.042,96000,4096,2024-06-13 16:08:15,0.043,0.046,0.001,2.2222222
349,00417,谢瑞麟,TSE SUI LUEN,EQTY,0.800,0.820,0.800,0.800,0.800,58000,46400,2024-06-13 16:08:15,0.800,0.850,-0.020,-2.4390244
350,00418,方正控股,FOUNDER HOLD,EQTY,0.610,0.610,0.610,0.610,0.600,984000,599500,2024-06-13 16:08:15,0.610,0.620,0.000,0.0000000
351,00419,华谊腾讯娱乐,HUAYI TENCENT,EQTY,0.084,0.084,0.087,0.087,0.083,3890000,329580,2024-06-13 16:08:15,0.084,0.087,0.000,0.0000000
