序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
5159,688369,致远互联,20.59,-1.06,-0.22,27875.0,57731716.0,3.22,21.08,20.41,20.75,20.81,0.66,2.42,-17.33,1.91,2371112259.0,2371112259.0,0.05,-0.24,42.69,-40.28
5160,301236,软通动力,63.72,-1.07,-0.69,584691.0,3731001642.31,4.72,65.04,62.0,63.77,64.41,0.45,8.59,599.66,5.8,60721411798.0,43349696587.0,0.11,0.27,93.85,38.46
5161,301336,趣睡科技,36.7,-1.08,-0.4,9145.0,33772029.0,3.83,37.73,36.31,37.0,37.1,0.69,3.55,52.23,1.84,1468000000.0,944901101.0,0.11,0.55,33.16,-15.9
5162,601319,中国人保,7.31,-1.08,-0.08,744155.0,547532267.0,2.71,7.5,7.3,7.41,7.39,0.78,0.21,7.12,1.28,323277371162.0,259488600622.0,-0.27,-0.27,37.41,56.2
5163,603773,沃格光电,23.68,-1.09,-0.26,253785.0,590473518.0,5.76,24.18,22.8,23.96,23.94,0.99,12.48,-86.74,3.94,5277072205.0,4815824854.0,0.04,0.55,22.38,-8.96
5164,600011,华能国际,7.28,-1.09,-0.08,799052.0,581179348.0,2.17,7.36,7.2,7.34,7.36,0.93,0.73,7.67,2.05,114282119654.0,80063328210.0,0.0,0.0,-12.39,-2.93
5165,002628,成都路桥,5.45,-1.09,-0.06,2078500.0,1125418766.58,10.71,5.75,5.16,5.16,5.51,1.29,27.53,-74.0,1.39,4126197262.0,4114909151.0,-0.18,-0.73,201.1,65.15
5166,603966,法兰泰克,8.17,-1.09,-0.09,71712.0,58915846.0,3.27,8.37,8.1,8.17,8.26,0.84,2.0,16.99,1.97,2942055031.0,2930535331.0,0.12,0.25,34.38,2.77
5167,002293,罗莱生活,7.24,-1.09,-0.08,77999.0,56545417.58,2.73,7.37,7.17,7.37,7.32,0.91,0.94,18.97,1.47,6016313162.0,5985766430.0,0.14,0.14,0.98,-16.69
5168,600383,金地集团,5.42,-1.09,-0.06,1658564.0,919292718.0,4.74,5.66,5.4,5.48,5.48,0.8,3.67,-3.64,0.4,24469042960.0,24469042960.0,0.0,0.18,85.62,24.88
5169,300692,中环环保,5.42,-1.09,-0.06,187578.0,101596917.43,4.2,5.55,5.32,5.5,5.48,1.54,5.01,23.18,1.07,2296752252.0,2030228765.0,-0.37,-0.18,27.83,-12.01
5170,603201,常润股份,17.12,-1.1,-0.19,43350.0,73842032.0,2.08,17.25,16.89,17.25,17.31,0.89,6.75,15.61,1.83,2701928647.0,1100051335.0,-0.06,-0.06,18.56,-8.79
